id,type,price,a_min,a_max,search
24786,S204-C20,42.00,13,18,mcb 4p c20a 10ka
24787,S204-C25,42.00,18,22.5,mcb 4p c25a 10ka
24788,S204-C32,42.00,22.5,28.5,mcb 4p c32a 10ka
24789,S204-C40,50.00,28.5,36,mcb 4p c40a 10ka
24790,S204-C50,57.00,36,45,mcb 4p c50a 10ka
24791,S204-C63,57.00,45,56.5,mcb 4p c63a 10ka
24792,S201-C1NA,25.40,0,0.5,mcb 1p+n c01a 10ka
24793,S201-C2NA,25.40,0.5,1.5,mcb 1p+n c02a 10ka
24794,S201-C4NA,25.40,1.5,3,mcb 1p+n c04a 10ka
24795,S201-C6NA,20.00,3,5,mcb 1p+n c06a 10ka
24796,S201-C10NA,20.00,5,8,mcb 1p+n c10a 10ka
24797,S201-C16NA,20.00,8,13,mcb 1p+n c16a 10ka
24798,S201-C20NA,20.00,13,18,mcb 1p+n c20a 10ka
24799,S201-C25NA,20.00,18,22.5,mcb 1p+n c25a 10ka
24800,S201-C32NA,20.00,22.5,28.5,mcb 1p+n c32a 10ka
24801,S201-C40NA,25.30,28.5,36,mcb 1p+n c40a 10ka
24802,S201-C50NA,30.80,36,45,mcb 1p+n c50a 10ka
24803,S201-C63NA,30.80,45,56.5,mcb 1p+n c63a 10ka
24804,S203-C1NA,58.00,0,0.5,mcb 3p+n c01a 10ka
24805,S203-C2NA,58.00,0.5,1.5,mcb 3p+n c02a 10ka
24806,S203-C4NA,58.00,1.5,3,mcb 3p+n c04a 10ka
24807,S203-C6NA,42.00,3,5,mcb 3p+n c06a 10ka
24808,S203-C10NA,42.00,5,8,mcb 3p+n c10a 10ka
24809,S203-C16NA,42.00,8,13,mcb 3p+n c16a 10ka
24810,S203-C20NA,42.00,13,18,mcb 3p+n c20a 10ka
24811,S203-C25NA,42.00,18,22.5,mcb 3p+n c25a 10ka
24812,S203-C32NA,42.00,22.5,28.5,mcb 3p+n c32a 10ka
24813,S203-C40NA,50.00,28.5,36,mcb 3p+n c40a 10ka
24814,S203-C50NA,57.00,36,45,mcb 3p+n c50a 10ka
24815,S203-C63NA,57.00,45,56.5,mcb 3p+n c63a 10ka
24816,S201-K1,20.80,0,0.5,mcb 1p k01a 10ka
24817,S201-K2,16.70,0.5,1.5,mcb 1p k02a 10ka
24818,S201-K4,16.70,1.5,3,mcb 1p k04a 10ka
24819,S201-K6,11.60,3,5,mcb 1p k06a 10ka
24820,S201-K10,10.55,5,8,mcb 1p k10a 10ka
24821,S201-K16,10.55,8,13,mcb 1p k16a 10ka
24822,S201-K20,10.55,13,18,mcb 1p k20a 10ka
24823,S201-K25,10.55,18,22.5,mcb 1p k25a 10ka
24824,S201-K32,12.70,22.5,28.5,mcb 1p k32a 10ka
24825,S201-K40,12.70,28.5,36,mcb 1p k40a 10ka
24826,S201-K50,21.00,36,45,mcb 1p k50a 10ka
24827,S201-K63,23.10,45,56.5,mcb 1p k63a 10ka
24828,S202-K1,43.00,0,0.5,mcb 2p k01a 10ka
24829,S202-K2,39.40,0.5,1.5,mcb 2p k02a 10ka
24830,S202-K4,39.40,1.5,3,mcb 2p k04a 10ka
24831,S202-K6,28.40,3,5,mcb 2p k06a 10ka
24832,S202-K10,26.00,5,8,mcb 2p k10a 10ka
24833,S202-K16,26.00,8,13,mcb 2p k16a 10ka
24834,S202-K20,28.00,13,18,mcb 2p k20a 10ka
24835,S202-K25,28.00,18,22.5,mcb 2p k25a 10ka
24836,S202-K32,31.30,22.5,28.5,mcb 2p k32a 10ka
24837,S202-K40,33.60,28.5,36,mcb 2p k40a 10ka
24838,S202-K50,49.50,36,45,mcb 2p k50a 10ka
24839,S202-K63,49.90,45,56.5,mcb 2p k63a 10ka
24840,S203-K1,71.70,0,0.5,mcb 3p k01a 10ka
24841,S203-K2,55.00,0.5,1.5,mcb 3p k02a 10ka
24842,S203-K4,51.90,1.5,3,mcb 3p k04a 10ka
24843,S203-K6,39.80,3,5,mcb 3p k06a 10ka
24844,S203-K10,35.80,5,8,mcb 3p k10a 10ka
24845,S203-K16,35.80,8,13,mcb 3p k16a 10ka
24846,S203-K20,35.80,13,18,mcb 3p k20a 10ka
24847,S203-K25,35.80,18,22.5,mcb 3p k25a 10ka
24848,S203-K32,39.90,22.5,28.5,mcb 3p k32a 10ka
24849,S203-K40,42.20,28.5,36,mcb 3p k40a 10ka
24850,S203-K50,66.10,36,45,mcb 3p k50a 10ka
24851,S203-K63,72.40,45,56.5,mcb 3p k63a 10ka
24852,S204-K1,99.00,0,0.5,mcb 4p k01a 10ka
24853,S204-K2,66.70,0.5,1.5,mcb 4p k02a 10ka
24854,S204-K4,66.70,1.5,3,mcb 4p k04a 10ka
24855,S204-K6,62.20,3,5,mcb 4p k06a 10ka
24856,S204-K10,60.30,5,8,mcb 4p k10a 10ka
24857,S204-K16,60.30,8,13,mcb 4p k16a 10ka
24858,S204-K20,60.30,13,18,mcb 4p k20a 10ka
24859,S204-K25,60.30,18,22.5,mcb 4p k25a 10ka
24860,S204-K32,62.70,22.5,28.5,mcb 4p k32a 10ka
24861,S204-K40,74.00,28.5,36,mcb 4p k40a 10ka
24862,S204-K50,80.80,36,45,mcb 4p k50a 10ka
24863,S204-K63,83.90,45,56.5,mcb 4p k63a 10ka
24942,S201M-C1,13.30,0,0.5,mcb 1p c01a 15ka
24943,S201M-C2,11.70,0.5,1.5,mcb 1p c02a 15ka
24944,S201M-C4,11.70,1.5,3,mcb 1p c04a 15ka
24945,S201M-C6,9.60,3,5,mcb 1p c06a 15ka
24946,S201M-C10,9.60,5,8,mcb 1p c10a 15ka
24947,S201M-C16,9.60,8,13,mcb 1p c16a 15ka
24948,S201M-C20,9.60,13,18,mcb 1p c20a 15ka
24949,S201M-C25,9.60,18,22.5,mcb 1p c25a 15ka
24950,S201M-C32,9.60,22.5,28.5,mcb 1p c32a 15ka
24951,S201M-C40,11.70,28.5,36,mcb 1p c40a 15ka
24952,S201M-C50,13.60,36,45,mcb 1p c50a 15ka
24953,S201M-C63,13.60,45,56.5,mcb 1p c63a 15ka
24954,S202M-C1,32.00,0,0.5,mcb 2p c01a 15ka
24955,S202M-C2,32.00,0.5,1.5,mcb 2p c02a 15ka
24956,S202M-C4,32.00,1.5,3,mcb 2p c04a 15ka
24957,S202M-C6,23.00,3,5,mcb 2p c06a 15ka
24958,S202M-C10,22.95,5,8,mcb 2p c10a 15ka
24959,S202M-C16,22.95,8,13,mcb 2p c16a 15ka
24960,S202M-C20,22.95,13,18,mcb 2p c20a 15ka
24961,S202M-C25,22.95,18,22.5,mcb 2p c25a 15ka
24962,S202M-C32,22.95,22.5,28.5,mcb 2p c32a 15ka
24963,S202M-C40,28.60,28.5,36,mcb 2p c40a 15ka
24964,S202M-C50,34.60,36,45,mcb 2p c50a 15ka
24965,S202M-C63,34.60,45,56.5,mcb 2p c63a 15ka
24966,S203M-C1,54.00,0,0.5,mcb 3p c01a 15ka
24967,S203M-C2,42.00,0.5,1.5,mcb 3p c02a 15ka
24968,S203M-C4,42.00,1.5,3,mcb 3p c04a 15ka
24969,S203M-C6,34.70,3,5,mcb 3p c06a 15ka
24970,S203M-C10,34.70,5,8,mcb 3p c10a 15ka
24971,S203M-C16,34.70,8,13,mcb 3p c16a 15ka
24972,S203M-C20,34.70,13,18,mcb 3p c20a 15ka
24973,S203M-C25,34.70,18,22.5,mcb 3p c25a 15ka
24974,S203M-C32,34.70,22.5,28.5,mcb 3p c32a 15ka
24975,S203M-C40,44.90,28.5,36,mcb 3p c40a 15ka
24976,S203M-C50,53.10,36,45,mcb 3p c50a 15ka
24977,S203M-C63,53.10,45,56.5,mcb 3p c63a 15ka
24978,S204M-C1,67.40,0,0.5,mcb 4p c01a 15ka
24979,S204M-C2,57.20,0.5,1.5,mcb 4p c02a 15ka
24980,S204M-C4,57.20,1.5,3,mcb 4p c04a 15ka
24981,S204M-C6,57.20,3,5,mcb 4p c06a 15ka
24982,S204M-C10,57.20,5,8,mcb 4p c10a 15ka
24983,S204M-C16,57.20,8,13,mcb 4p c16a 15ka
24984,S204M-C20,57.20,13,18,mcb 4p c20a 15ka
24985,S204M-C25,57.20,18,22.5,mcb 4p c25a 15ka
24986,S204M-C32,57.20,22.5,28.5,mcb 4p c32a 15ka
24987,S204M-C40,61.80,28.5,36,mcb 4p c40a 15ka
24988,S204M-C50,72.20,36,45,mcb 4p c50a 15ka
24989,S204M-C63,72.20,45,56.5,mcb 4p c63a 15ka
70403,S201Μ-K1,26.20,0,0.5,mcb 1p k01a 15ka
70404,S201Μ-K2,21.80,0.5,1.5,mcb 1p k02a 15ka
70405,S201Μ-K4,21.80,1.5,3,mcb 1p k04a 15ka
70406,S201Μ-K6,13.40,3,5,mcb 1p k06a 15ka
47438,S201Μ-K10,12.10,5,8,mcb 1p k10a 15ka
49215,S201Μ-K16,12.10,8,13,mcb 1p k16a 15ka
41102,S201Μ-K20,13.20,13,18,mcb 1p k20a 15ka
70407,S201Μ-K25,13.20,18,22.5,mcb 1p k25a 15ka
